Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
&Text.GuardAlert.Fighting	$name ! Desista!	$name! Lass das!	$name ! Stop !	¡$name! ¡Desiste!	$name! Прекрати!	$name! Arrenditi!	$name！ 住手！ 	$name！よせ！			
&Text.Guard.NaughtyLocation	$name ! Saia daí!	$name! Raus da!	$name ! Sors de là !	"¡$name, sal de ahí!"	$name! Вылезай оттуда!	$name! Vai via da lì!	$name！ 给我出来！ 	$name！そこから出ろ！			
&Text.Guard.NaughtyLocation	$name ! O que faz aí?!	$name! Was machst du da drin?!	$name ! Qu'est-ce que tu fiches ici ?	¡$name! ¡¿Qué haces ahí?!	$name! Что ты там делаешь?	$name! Che ci fai lì?!	$name！ 你在那里干嘛？	$name！そこで何やってる？			
&Text.Guard.Work	"$name, vai trabalhar!"	"$name, an die Arbeit!"	"Au boulot, $name !"	"¡$name, a trabajar!"	"$name, за работу!"	"$name, fila a lavorare!"	$name， 快去干活！ 	$name、 働け！			
&Text.Guard.Naked	"$name, ninguém quer ver isto!"	"$name, das will niemand sehen!"	"$name, personne ne veut voir ça !"	"¡$name, nadie quiere ver eso!"	"$name, никто не хочет это видеть!"	"$name, nessuno vuole vederti!"	$name， 你那么做没人会高兴！ 	$name、 誰もそんなモノは見たくない！			
&Text.Guards.GetDownFromThere	"$name, desça daí!"	"$name, komm da runter!"	"$name, descends de là !"	"¡$name, baja de ahí!"	"$name, слезай оттуда!"	"$name, scendi da lì!"	$name， 从那里下来！ 	$name、 そこから下りろ！			
&Text.Guard.CharacterTardy	"$name, acelera o passo!"	"$name, leg einen Zahn zu!"	"Plus vite, $name !"	"¡$name, acelera el ritmo!"	"$name, живее!"	"$name, più veloce!"	$name， 别磨蹭！ 	$name、 モタモタするな！			
&Text.Guard.Naked	"$name, onde está a sua dignidade?"	"$name, schämst du dich nicht?"	"Où est ta dignité, $name !"	"$name, ¿dónde está tu dignidad?"	"$name, где твое достоинство?"	"$name, dove hai messo la dignità?"	$name， 你节操何在？	$name、 誇りはないのか？			
&Text.Guard.Naked	"$name, vista-se!"	"$name, zieh dich an!"	"$name, habille-toi !"	"¡$name, vístete!"	"$name, прикройся!"	"$name, vestiti!"	$name， 把衣服穿上！ 	$name、 服を着ろ！			
&Text.Lockdown	*Bocejo*	*Gähn*	*Baille*	*Bostezo*	*Зевает*	*Bocejo*	*打哈欠*	ふあ～あ…			
&Text.Inmates.JobChat	* Assovío *	*Pfeift*	*Siffle*	* Silbido *	* Свистит *	* Fischio *	*吹口哨*	フンフンフ～ン			
&Text.NPC.Maintenance.Idle	*Snif*	*schluchz*	Snif.	*lloriqueo*	*всхлипывает*	*Snif*	*呜咽*	シクシク…			
&Text.Inmates.Showers	*Hmmm*	*Zwinker*	Hum.	*Guiño*	*Подмигивает*	*Blink*	*眨眼*	うっふ～ん			
&Text.Visitor.Leave	... pense o que quiser!	"... dachte, ich sag dir das!"	... je pensais que ça t'intéresserait !	... ¡pensé que lo querías saber!	"...подумал, что надо тебе сообщить!"	...pensavo di dovertelo dire!	……就跟你说一声！ 	…ま、 いちお伝えとこうと思ってさ！			
&Text.Visitor.Leave	... isso é tudo.	... das war alles.	... et c'est tout.	... eso es todo.	...это действительно все	"...è tutto, davvero"	……真没别的事了	…話は以上だ			
&Text.Visitor.Leave	... e já chega!	... das war’s schon.	... et voilà.	... y ya está.	…вот и все	...ecco tutto	……就这些了	…そんなところだ			
&Text.Guards.GoReport	... este lugar está caindo aos pedaços!	... Hier geht alles in die Binsen!	... Cet endroit tombe en ruines !	... ¡Este lugar se cae a pedazos!	...Это место разваливается на куски!	...Questo posto sta cadendo a pezzi!	……这地方要塌了！ 	…建物がぶっ壊されてる！			
&Text.Inmates.Banter	... e me receberäo com aplausos!	... und wurde mit Applaus empfangen.	... et j'ai reçu des applaudissements.	... y me recibieron con aplausos.	...и меня приветствовали аплодисментами	...e sono stato accolto con un applauso	……当初还有人鼓掌迎接我呢	…そして歓声に迎えられた			
&Text.Guards.Gym	... e sem vingança!	... Und zeig keine Scham!	Ne montrez aucune peur !	... ¡Y sin vergüenza!	...И ему еще не стыдно!	...Non avete pudore!	……不要表现出羞愧！ 	…恥ずかしがるな！			
&Text.Inmates.DetachedFromEquipment	... ?	...?	... ?	...?	...?	... ?	……？	…？			
&Text.Inmates.Gym	1...2...3...10. Feito!	1 ... 2 ... 3 ... 10 ... Fertig!	"1, 2, 3, 10... C'est bon !"	1...2...3...10... ¡Hecho!	1...2...3...10.. Готово!	1... 2... 3... 10... Fatto!	1… 2… 3… 10… 搞定！ 	1…2…3…10、 終了！			
&Text.Guards.Lockdown	"1, 3, 8, 4... Cara, näo consigo nem os contar?!"	"1, 3, 8, 4 ... Mann, ich kann die Knackis nicht zählen?!"	"1, 3, 8, 4... Je vais tous les compter ?!"	"1, 3, 8, 4... Tío, ¡no puedo ni contarlos!"	"1, 3, 8, 4… Слышь, не могу сосчитать всех зэков!"	"1, 3, 8, 4… Cavoli, non riesco a contarli tutti!"	1、 3、 8、 4… 老天， 我居然没法数清所有的罪犯？	1、 3、 8、 4…って、 全員数えんのか？			
&Text.Inmates.JobChat	25 Anos...	25 Jahre ...	25 ans...	25 años...	25 лет...	25 anni...	25年了……	25年か…			
&Text.NPC.MedicSolitary	Descanse na Solitária!	Ab in die Einzelhaft!	Repose-toi en isolement !	¡Descansa en aislamiento!	Отдохни в карцере!	Riposa in isolamento!	在禁闭室好好休息吧！ 	独房で休んでろ！			
&Text.Guards.RollCallMain	Está soprando um vento de mudança...	Aber der Wind dreht sich ...	Le vent tourne...	Soplan vientos de cambio...	Пришло время перемен...	Ma il vento sta cambiando...	风向变了……	風向きが変わったか…			
&Text.Inmates.Banter	Eles nunca roubaräo a nossa liberdade!	Aber niemals nehmen sie uns die Freiheit.	Ils n'auront jamais notre liberté !	Nunca nos robarán la libertad.	Они никогда не отберут у нас свободу	Non prenderanno mai la nostra libertà	我们永远无法夺走我们的自由	ヤツらに自由は奪わせねえ			
&Text.GuardAlert.Flood	Pelo amor de Deus!	Ach du Schande!	Bordel !	¡Por los cielos!	Черт возьми!	Per l’amor del cielo!	见了个鬼！ 	なんてこった！			
&Text.Guards.RollCallStart	Atençäo!	Achtung!	Attention !	¡Atención!	Внимание!	Attenti!	注意了！ 	ちゅうもーく！			
&Text.Inmates.PlayerRep2	Atençäo!	Achtung.	Attention.	¡Cuidado!	Смотри	Guarda	当心	用心しな			
&Text.Guard.SentToContrabandDesk	Ah hah!	Aha!	Ah ah !	¡Ja!	А-ха!	Ah-ha!	啊哈！ 	おやおや！			
&Text.Guards.EscapeAttempt	Aha! Como suspeitava!	Aha! Wie erwartet!	Aha ! Je m'en doutais !	¡Ajá! ¡Como sospechaba!	Ага! Как я и подозревал!	Aha! Come sospettavo!	啊哈！ 不出我所料！ 	ハッ！やっぱりか！			
&Text.Guards.Showers	"Limpem-se bem, ladröes!"	"Alle in eure Winkel, ihr Gauner!"	"Passez bien partout, tas de crétins !"	"¡Al rincón, ladrones!"	"Прячьтесь в норы, ворюги!"	"Tutti all’angolo, furfanti!"	你们这帮混混， 都给我进去！ 	隅々まで洗えよ、 ボンクラども！			
&Text.Guards.FoodHall	Todo o alimento que um preso necessita!	"Alle Nährwerte, die ein Knacki braucht!"	Tout ce dont un détenu pourrait avoir besoin !	¡Todo el alimento que necesita un preso!	"Все, что нужно зэку для пропитания!"	Tutto il nutrimento di cui un galeotto ha bisogno!	罪犯需要的食物这里都有！ 	受刑者に必要な栄養がたっぷりだ！			
&Text.NPC.Warden	Este lugar está em ruinas.	Alles Durcheinander hier.	Cet endroit est une ruine.	Este lugar es una ruina...	Полная разруха...	"Che disastro, qui..."	这儿真乱……	ここはひどい場所だ…			
&Text.NPC.Maintenance	Tudo consertado.	Alles geflickt.	C'est réparé.	Todo arreglado.	Все заделано	Tutto riparato	都修好了	すべて修理した			
&Text.Inmates.PlayerRep3	Tudo certo.	Alles gut.	Tout va bien.	Todo bien.	Все в порядке	Tutto apposto	一切正常	異常ない			
&Text.Inmate.Disguise	Tudo bem, chefe.	"Alles o.k. hier, Boss."	"Tout va bien, patron."	"Todo bien, jefe."	"Все хорошо здесь, босс"	"Tutto bene qui, capo"	老大， 这里一切正常	こっちは異常ナシです、 ボス			
&Text.Inmates.JobChat	Qualquer coisa para reduzir minha pena...	"Alles, um meine Strafzeit zu verringern ..."	Tout est bon pour réduire ma peine...	Lo que sea para reducir mi condena...	"Что угодно, чтобы сократить срок..."	Tutto pur di ridurre la mia pena...	只要能缩短刑期， 怎样都好……	刑期が減るなら何でもやるさ…			
&Text.Inmates.Attacked	Certo!	Also dann!	Très bien !	¡Bien!	Сейчас!	"Bene, allora!"	那好吧！ 	かかってきな！			
&Text.Guard.InterjectFight	Certo!	Also dann!	Très bien !	¡Bien!	Сейчас!	"Bene, allora!"	那好吧！ 	よし、 そこまで！			
&Text.Guards.RollCallMain	Tenham cuidado, ouviram?	"Also seid vorsichtig, verstanden?"	"Alors gare à vous, compris ?"	"Así que id con cuidado, ¿me oís?"	"Так что будьте начеку, ясно?"	"Guardatevi le spalle, avete capito?"	你自己保重， 听到没？	とにかく気を抜くんじゃないぞ？			
&Text.Inmates.Showers	Entäo os rumores eram verdadeiros...	Also sind die Gerüchte wahr ...	Les rumeurs disaient vrai...	Así que los rumores eran ciertos...	"Значит, слухи были верные..."	Quindi le voci erano vere...	看来传言是真的……	ウワサは本当だったか…			
&Text.Inmates.Showers	Bem... vem muito por aqui?	"Also, ähm ... bist du oft hier?"	Euh... Tu viens souvent ici ?	Bueno... ¿vienes mucho por aquí?	Эм.. Часто сюда приходишь?	Quindi uhm... vieni qui spesso?	那个…… 你常来吗？	で…ここへはよく来るのか？			
&Text.NPC.MedicDismissFromInfirmary	O que você aprendeu?	"Also, was hast du gelernt?"	Quelle leçon as-tu tiré ?	¿Y qué has aprendido?	Чему ты научился?	"Allora, cosa hai imparato?"	你了解到了什么？	それで何を学んだ？			
&Text.Guard.InterjectFight	Pare de cutucar seus dentes com um braço quebrado!	Am Ende hebst du deine Zähne mit einem gebrochenen Arm auf!	Tu te cureras les dents avec un bras en moins !	¡Deja de hurgarte los dientes con el brazo roto!	В конце ты будешь собирать свои зубы сломанной рукой!	Finirete a raccogliere i vostri denti con un braccio rotto!	最后用骨折的手臂捡你自己的牙齿！ 	折れた腕で歯を拾うハメになるぞ！			
&Text.Guard.Work	Vai trabalhar $name!	"An die Arbeit, $name!"	"Au boulot, $name !"	"¡A trabajar, $name!"	"За работу, $name!"	"Al lavoro, $name!"	$name， 快去干活！ 	仕事へ行け、 $name！			
&Text.Guard.Work	Pare de vagabundear $name!	"An die Arbeit, $name, du Faulpelz!"	"$name, au boulot, tire au flanc !"	"¡No hagas el vago, $name!"	"За работу, $name, хватит сачковать!"	"Al lavoro, $name, scansafatiche!"	$name你个偷懒的家伙， 还不快去干活！ 	働け、 $name！怠け者め！			
&Text.NPC.DiscoverEscapeAttemptIgnore	Se näo se importa.	Andere Länder ...	À Rome...	Donde fueres...	Чужой монастырь...	Chi se ne importa	在罗马时……	郷に入っては…			
&Text.Inmates.Banter	O advogado me julgou bem.	Anwalt hat mich betrogen.	L'avocat a pas assuré.	El abogado me la jugó.	Адвокат одурачил меня	L’avvocato mi ha raggirato	律师摆了我一道	弁護士にしてやられた…			
&Text.Inmates.Banter	O advogado levou meu dinheiro.	Anwalt ist mit Kohle weg.	L'avocat a pris mon blé.	El abogado se llevó mi dinero.	Адвокат удрал с моим баблом	L’avvocato è fuggito coi soldi	律师拿了我的钱跑了	弁護士は人のカネで遊んでら			
&Text.Guards.RollCallMain	Se causar problemas iräo direto para a enfermaria.	Ärger ist der schnellste Weg zur Krankenstation.	Causez un problème et vous finirez à l'infirmerie.	"Si causáis problemas, iréis directos a la enfermería."	Стать источником проблемы — кратчайший путь в лазарет	"Se darete problemi, finirete dritti in infermeria"	惹麻烦是通往医务室的捷径	騒ぎを起こせば、 医務室へ直行だ			
&Text.Inmates.Banter	Isso näo te incomoda?	Ärgert dich das nicht?	Ça ne te dérange pas ?	¿No te importa?	Это тебя не беспокоит?	Non ti da fastidio?	那让你很在意吗？	気にならないのか？			
&Text.Inmates.Showers	"Argh, meus olhos!"	"Argh, meine Augen."	"Arf, j'en ai dans les yeux."	"¡Ay, está en mis ojos!"	"Ой, мне в глаза попало"	"Argh, negli occhi!"	啊， 进到我眼睛里了	うおっ、 泡が目に入った			
&Text.NPC.MedicCarrying	Ainda está respirando?	Atmet der noch?	Celui-là respire ?	¿Este respira?	Этот дышит?	Respira?	这家伙还活着吗？	息はあるか？			
&Text.Inmates.Gym	"Ai, minha costa."	"Au, mein Rücken."	"Aïe, mon dos."	"Ay, mi espalda."	"О, моя спина"	"Ahi, la schiena"	哎哟， 我的背	うっ、 背中がピキッて！			
&Text.Guard.Heat	Pro chäo!	Auf den Boden!	À terre !	¡Al suelo!	На землю!	A terra!	趴下！ 	床に伏せろ！			
&Text.NPC.MedicDismissFromInfirmary	Em pé, soldado!	"Auf die Beine, Soldat."	"Debout, soldat."	"En pie, soldado."	"Встать, солдат"	"In piedi, soldato"	士兵， 起立	立て、 兵隊			
&Text.Inmates.GuardBanter	Dobre o joelho.	Auf die Knie.	À genoux.	Arrodíllate.	Согни колено	In ginocchio	屈膝	ひざまずけ			
&Text.Guard.Stealing	Pego em fragrante!	Auf frischer Tat ertappt!	La main dans le sac !	¡Pillado in fraganti!	Попался с поличным!	Con le mani nel sacco!	逮了个正着！ 	現行犯タイホだ！			
&Text.Guard.CharacterStoodOnDesk	Näo suba nos móveis!	Auf Möbeln wird nicht gestanden!	On ne monte pas sur le mobilier !	¡No os subáis a los muebles!	Запрещается залезать на мебель!	Non si sale sui mobili!	不许站在家具上！ 	家具の上に立つな！			
&Text.NPC.Gardener	Espero que eu corte.	Auf nen guten Schnitt.	Je veux changer de coupe.	Espero pasar el corte.	"Надеюсь, я пройду"	Spero fare un bel taglio	希望我能获得晋升	一旗あげたいねえ			
&Text.Inmates.Banter	Em que tipo de show você acha que estamos?!	Auf welcher Realitätsebene sollen wir unterwegs sein?!	Quel niveau de réalité faut-il adopter ?	¡¿En qué tipo de show se supone que estamos?!	На каком уровне реальности мы должны действовать?	Su che livello di realtà stiamo operando?	我们应该在哪一现实层面展开行动？！ 	どの現実を生きりゃあいいんだ？			
&Text.GuardAlert.DisguiseCaught	Preso!	Aufgeflogen!	Grillé !	¡Pillado!	Попался!	Beccato!	逮到你了！ 	バレてるぞ！			
&Text.GuardAlert.Fighting	Pare, $name!	"Aufhören, $name!"	"Arrête ça, $name !"	"¡Para eso, $name!"	"Прекрати, $name!"	"Smettila, $name!"	$name， 住手！ 	$nameを止めろ！			
&Text.Inmates.Banter	Saia do meu caminho!	Aus dem Weg!	Hors de mon chemin !	¡Sal de mi camino!	С дороги!	Togliti dai piedi!	别挡路！ 	どきやがれ！			
&Text.Inmates.PlayerRep1	Saia do meu caminho.	Aus dem Weg.	Écarte-toi.	Sal de mi camino.	Прочь с дороги	Fuori dai piedi	别挡路	どけよ			
&Text.Guard.InterjectFight	Separe-os!	Auseinander!	Arrêtez ça !	¡Separadlo!	Всем разойтись!	Smettetela!	住手！ 	その辺にしとけ！			
&Text.Inmates.Showers	Abraços de ursos!	Bärchenumarmung!	Mon nounours !	¡Osos amorosos!	Милашки!	Coccole!	抱抱熊！ 	ふわふわクマさんだよぉぉ！			
&Text.Guard.CharacterTardy	Acelera, $name!	"Beeil dich, $name!"	"Dépêche-toi, $name !"	"¡Date prisa, $name!"	"Давай живее, $name!"	"Accelera, $name!"	动作快点， $name！ 	急げ、 $name！			
&Text.Inmates.FoodHall	Mostre boas maneiras...	Benimm dich ...	Et tes manières...	Muestra algunos modales...	Не забывайте о манерах...	Che maniere...	给我放尊重点……	汚ねえ食い方…			
&Text.Inmates.FoodHall	Melhore suas maneiras na mesa.	Benimm dich besser bei Tisch.	Améliore ton comportement à table.	Mejora tus modales en la mesa.	"Вспомните, как вести себя за столом"	Un po’ di buone maniere a tavola	改进一下你的餐桌礼仪	テーブルマナーを学んでこい			
&Text.NPC.Medic	Prepare-o para a cirurgia!	"Bereit für die OP, Leute!"	"On prépare le bloc, les gars !"	¡Preparaos para la cirugía!	"Готовьтесь к операции, ребята!"	Prepariamoci per l’operazione!	准备做手术了， 小伙子们！ 	オペの準備を！			
&Text.Guards.LockdownStart	PREPAREM-SE PESSOAL! ISSO... É... UM... ISOLAMENTO!	BEREITET SIE VOR – DAS. IST. EINE. VERRIEGELUNG!	"PRÉPAREZ-LES, LES GARS. ÉTAT D'URGENCE !"	PREPARADLOS. ESTO. ES. ¡UN BLOQUEO!	"ВСЕ, РЕБЯТА. ЭТО СТРОГАЯ ИЗОЛЯЦИЯ!"	"PREPARATELI, RAGAZZI! QUESTO. È. UN. LOCKDOWN!"	小子们， 准备好。 封锁开始了！ 	準備しろ、 施設封鎖だ！			
&Text.Inmates.PlayerRep2	Relaxe.	Beruhig dich.	Relax.	Relájate.	Остынь	Rilassati	冷静点	落ち着け			
&Text.Inmates.JobChat	É melhor do que nada.	Besser als nichts.	C'est mieux que rien.	Es mejor que nada.	"Лучше, чем ничего"	Meglio di niente	聊胜于无	働けるだけマシだ			
&Text.ChatToGuard	É melhor näo fazer nada de bom!	"Besser, du hast nichts Blödes vor!"	Tu n'as pas intérêt à préparer un sale coup.	¡Será mejor que no trames nada raro!	Лучше не замышляй ничего!	Meglio che tu non abbia strane idee!	你最好别图谋不轨！ 	バカな考えは起こすんじゃないぞ！			
Text.CutleryTray	Bandeja de Talheres	Besteckkasten	Plateau de couverts	Bandeja	Лоток для приборов	Vassoio posate	餐具托盘	食器トレイ			
&Text.Guard.CharacterTardy	Mova-se, $name!	"Beweg dich, $name!"	"Bouge, $name !"	"¡Muévete, $name!"	"Шевелись, $name!"	"Muoviti, $name!"	$name， 快点！ 	走れ、 $name！			
&Text.Guard.Chat	Mova-se, $name	"Beweg dich, $name."	"Bouge, $name !"	"Muévete, $name."	"Шевелись, $name"	"Muoviti, $name"	$name， 快点	あっちへ行け、 $name			
&Text.Guards.Gym	MOVA-SE!	BEWEGUNG!	ALLEZ.	¡MOVEOS!	ДАВАЙ!	MUOVERSI!	快走！ 	走れ走れ！			
&Text.Guard.Chat	Andando, $name	"Bewegung, $name."	"Avance, $name !"	"Sal, $name."	"Вперед, $name"	Datti una mossa $name	走开， $name	立ち止まるな、 $name			
&Text.ChatToGuard	Andando.	Bewegung.	Avance.	Moveos.	Шевелись	Muoviti	走开	立ち止まるな			
&Text.NPC.MedicCarrying	Te peguei...	Bin da ...	Tiens bon...	Te pillé...	Понял...	Sei con me...	有我在……	しっかりしろ…			
&Text.Inmates.PlayerRep3	Estarei aqui quando precisar.	"Bin da, wenn du mich brauchst."	Je serai là si t'as besoin.	Aquí estaré si me necesitas.	Я всегда рядом	Sono qui se hai bisogno	有需要的话就来这儿找我	困った時はオレがついてる			
&Text.Inmates.PlayerRep3	Peguei você.	Bin da.	Je suis là.	Te pillé.	Понял	Sono con te	我照应你	任せておけ			
&Text.NPC.Counselor	Estou aqui para lhe ajudar... por um pequeno preço.	Bin für dich da ... für eine geringe monatliche Gebühr.	Je suis là pour toi... pour trois fois rien.	Estoy aquí para ayudarte... por una pequeña suma.	Я здесь к вашим услугам... за небольшую месячную плату	Sono qui per te... per un piccolo fisso mensile	我会帮你…… 但你得付一小笔月费	私がいつでも相談に乗ろう… 有料で			
&Text.Inmates.Gym	Veja meu físico.	Bin gut in Form!	Regarde un peu ça.	Mira mi figura.	Зацени мою форму	Guarda che fisico	看看我健壮的身体	フォームを見てくれ			
&Text.Guards.Reported	Meu trabalho por aqui acabou.	Bin hier fertig.	Mon travail est fait.	Mi trabajo aquí ha acabado.	Моя работа закончена	Il mio lavoro qui è finito	我在这儿的活干完了	任務完了、 と			
&Text.Inmates.Banter	Estou aqui para você se divertir?	Bin ich für deinen Spaß da?	Je te fais rire ?	¿Estoy aquí para divertirte?	"Я здесь, чтобы вас развлечь?"	Ti faccio ridere?	我是来供你消遣的吗？	あんたを笑かせって？			
&Text.NPC.Janitor	Sou um preso?	Bin ich Insasse?	Je suis un détenu ?	¿Soy un preso?	Я заключенный?	Sono un detenuto?	我是囚犯吗？	私は囚人か？			
&Text.ChatToGuard	Näo sou seu amigo.	Bin nicht dein Kumpel.	On n'est pas potes.	No soy tu colega.	Я тебе не приятель	Non sono tuo amico	我不是你的伙计	私はおまえの友だちじゃない			
&Text.ChatToGuard	Näo estou aqui para bater papo.	Bin nicht zum Plaudern da.	Va bavarder plus loin.	No estoy aquí para hablar.	Я здесь не за болтовней	Non son qui per conversare	我不是来聊天的	私はおまえの話相手じゃない			
&Text.Inmates.Banter	Chegou tarde para um encontro!	Bin spät dran für ein Date!	"Vite, j'ai rencard !"	¡Lego tarde a una cita!	Я опоздал на свидание!	Ho un appuntamento!	我约会要迟到了！ 	デートに遅れるぅぅ！			
&Text.Inmates.Banter	Estou confuso...	Bin überfragt ...	J'ai plein de...	Me confunde...	Я насквозь пропитан этим...	Ne ho piene le scatole...	我身上全是它的窟窿……	がんじがらめだ…			
&Text.Guards.CombatEnded	Tem sangue na minha roupa!	Bin voller Blut!	J'ai du sang sur moi.	¡Sangre en mi camisa!	На мне кровь!	Ho del sangue addosso!	我身上有血迹！ 	服に血がついたぞ！			
&Text.Player.NoStamina	Estou cansado demais para continuar...	"Bin zu müde, um weiterzumachen ..."	Je suis trop épuisé pour continuer...	Estoy demasiado cansado para seguir...	"Я слишком устал, чтобы продолжать..."	"Sono a pezzi, non posso continuare..."	我太累了， 没法继续干下去了……	クタクタで続けられない…			
&Text.Inmates.Gym	Dê o seu máximo.	Bis an die Grenze.	Repousse tes limites.	Esfuérzate al máximo.	Давай до предела	Spingiti al limite	推到极限	限界に挑めぇ			
&Text.Visitor.Leave	Tchau!	Bis dann!	À plus !	¡Adiós!	Пока!	Ciao!	再见！ 	またな！			
&Text.Visitor.Leave	Até a próxima.	Bis zum nächsten Mal.	À la prochaine.	Hasta la próxima.	До следующего раза	Ci si vede	下次再见	また今度な			
&Text.Inmates.PlayerRep2	Que grosseiro...	Bisschen grob.	Sympa...	Qué grosero...	Грубовато...	Che scortese	有点粗鲁……	ちょいと無礼だぞ…			
&Text.NPC.Warden	Você é aquele que tentava escapar?	"Bist du der, der fliehen wollte?"	C'est toi qui veut t'évader ?	¿Eres el que intentaba escapar?	Это ты пытался сбежать?	Sei tu che hai cercato di scappare?	你就是那个想越狱的家伙吗？	おまえさんが脱獄を？			
&Text.Guards.Showers	Está orgulhoso?	Bist du stolz drauf?	Tu es fier de ça ?	¿Estás orgulloso?	Гордишься этим?	Ne vai fiero?	你觉得很自豪吗？	自慢のイチモツか？			
&Text.NPC.Warden	Sem autógrafos, por favor.	Bitte keine Autogramme.	Pas d'autographes.	Autógrafos no.	Никаких автографов	Niente autografi	请勿签名	サインは断っている			
&Text.GuardAlert.Disguise	Fique parado. Quero examiná-lo melhor!	Bleib ein wenig – lass mich dich ansehen!	Reste là... Laisse-moi te fouiller.	"Quédate un rato, quiero verte bien."	"Постой, дай на тебя полюбоваться!"	"Resta un po’, fatti guardare!"	你慢着， 我要检查一下你！ 	ちょっと待て、 調べさせろ！			
&Text.NPC.MedicDismissFromInfirmary	Fique parado.	Bleib ein wenig.	Reste un peu.	Quédate un rato.	Передохни	Fermati un po’	在这里待一会儿	少し休め			
&Text.NPC.MedicDismissFromInfirmary	Näo fique aqui por muito tempo.	Bleib nicht zu lange.	Ne reste pas trop longtemps.	No te quedes mucho tiempo.	Не задерживайся надолго	Non stare qui a lungo	别待太久	長居はするなよ			
&Text.Inmates.CombatEnded	Fique no chäo.	Bleib unten.	Reste là.	Sigue agachado.	Лежать	Sta’ giù	别起来了	一生寝てろ			
&Text.Guards.CombatEnded	Fique no chäo.	Bleib unten.	Reste là.	Sigue agachado.	Лежать	Sta’ giù	别起来了	下がってろ			
&Text.GuardAlert.Item	Péssimo, péssimo...	"Böse, böse ..."	Vilain vilain...	"¡Malo, malo!"	Наглец...	Cattivo cattivo...	你不乖啊……	いけないねぇ…			
&Text.Guards.InmatesBeingNaughtyDEMO	"Péssimo, péssimo!"	"Böse, böse!"	"Pas bien, pas bien !"	"¡Malo, malo!"	Наглец!	"Cattivo, cattivo!"	你不乖啊！ 	いけない坊やだ！			
&Text.Inmates.JobChat	Devo me manter ocupado.	Brauch was zu tun.	Faut s'occuper.	Hay que estar ocupado.	Надо что-то делать	Devo tenermi occupato	不能偷懒	忙しくしていたい			
&Text.ChatToGuard	Você precisa de algo?	Brauchst du was?	Tu cherches quoi ?	¿Necesitas algo?	Тебе что-то надо?	Hai bisogno di qualcosa?	你有何需要？	なにか用か？			
&Text.Inmates.Ignore	Fugindo?	Brichst du aus?	On s'échappe ?	¿Huyendo?	Это побег?	Scappare?	逃出去吗？	脱獄か？			
&Text.Inmates.Gym	GRRRR	BRÜLL	GRRRR	RUGIDO	РЕВ	GRRRR	吼	うらあぁぁっ！			
