Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese		
&Text.LoadingTip	Aumente sua forma física e sua força na academia da prisäo!	Benutze den Fitnessraum des Gefängnisses und erhöhe deine Stärke und Fitness!	Améliorez votre Force et votre Forme à la salle de sport de la prison.	¡Aumenta la forma física y la fuerza en el gimnasio de la prisión!	"Занимайтесь в тюремном тренажерном зале, чтобы повысить силу и физ. форму!"	Aumenta la tua forza e forma fisica usando la palestra della prigione!	用监狱的健身设施提升你的力量和体质！ 	刑務所のジムで体を鍛えて、「腕力」や「体力」を上昇させよう！		
&Text.LoadingTip	Tenha certeza de ter todos os itens necessários para fazer cópias das chaves e dos cartöes dos guardas - E näo se esqueça de devolver a original no mesmo lugar antes que eles acordem! 	"Besorge die nötigen Gegenstände, um die Schlüssel oder Karten der Wärter zu kopieren – achte aber darauf, dass die Originale wieder da sind, wenn der Wärter aufwacht! "	"Assurez-vous d'avoir ce qu'il vous faut pour faire une copie de la clé ou carte d'un gardien, et n'oubliez pas de remettre l'originale en place avant son réveil. "	Asegúrate de que tienes los objetos necesarios para hacer copias de las llaves y tarjetas de los guardias. ¡Pero no te olvides de volverlas a poner en su sitio antes de que se despierten! 	"Убедитесь, что у вас есть предметы, необходимые для того, чтобы сделать копию ключей и ключей-карт охранников, и не забудьте вернуть оригинал охраннику, прежде чем он проснется! "	Assicurati di avere gli oggetti necessari per fare le copie di chiavi e schede delle guardie. Ricordati di rimettere a posto le originali prima che la guardia si svegli! 	一定要弄到制作守卫钥匙和门卡复制品所需的材料。 只要在守卫醒来之前把原件放回守卫身上就不会有事！  	看守のカギやキーカードの複製に必要なアイテムを必ず持っておこう。本物のカギは看守が目覚める前に戻しておくこと！		
&Text.LoadingTip	Use o Painel de Empregos para encontrar um emprego na prisäo! 	"Bewirb dich um Gefängnisjobs, die angeboten werden! "	Écran des tâches -> boulots de prison ! 	¡Usa el tablón para solicitar un empleo en prisión! 	"Используйте доску объявл., чтобы получить тюремную работу. "	Usa la bacheca per trovare un lavoro! 	用工作布告板申请监狱里的工作！  	刑務所の仕事は「求人掲示板」から申し込める。		
&Text.LoadingTip	"Na Solitária, você pode descascar batatas para diminuir seu tempo de castigo."	"Bist du in Einzelhaft, warum schälst du nicht Kartoffeln, um dir die Zeit zu verkürzen?"	"En isolement, épluchez donc quelques patates pour être libéré plus rapidement."	"En la celda de aislamiento, puedes pelar patatas para acortar el tiempo de castigo."	"Почему бы не почистить картошку, пока вы ожидаете освобождения в карцере?"	"Se sei in isolamento, perché non peli un po’ di patate per farti rilasciare prima?"	被关禁闭时， 削土豆是让禁闭期尽快结束的好办法。 	独房の中ではジャガイモの皮をむくと、早く出してもらえる。		
&Text.LoadingTip	"Se estiver desempregado, procure um oficial de empregos para demostrar interesse e receber uma recompensa em dinheiro!"	"Bist du unbeschäftigt, besuche den Arbeitsvermittler, um deinen guten Willen zu zeigen und etwas Bargeld zu erhalten!"	"Si vous êtes sans emploi, allez montrer votre bonne volonté aux recruteurs pour recevoir un peu d'argent."	"Si no tienes trabajo, visita a los agentes de empleo para demostrar interés y recibir una recompensa monetaria."	"Если вы не работаете, посетите инспектора по трудоустройству, чтобы продемонстрировать свою готовность и получить немного денег."	"Se non hai un lavoro vai al Centro impiego, riceverai una piccola ricompensa per aver mostrato buona volontà!"	如果你没有工作， 一定要去找工作指派官并表示自己愿意工作， 他们还会给你一小笔现金奖励！ 	無職の時は「内職手配所」の担当官に意欲を見せると、わずかなコインをもらえる。		
&Text.LoadingTip	O ícone de uma casa no mini mapa indica onde está sua cela.	"Das Haussymbol auf der Minimap zeigt an, wo sich deine Zelle befindet."	L'icône de maison de la carte indique la position de votre cellule.	El icono de casa que hay sobre el minimapa indica dónde está tu celda.	Значок домика на мини-карте показывает местоположение вашей камеры.	L’icona della casa sulla mini-mappa ti mostra la posizione della tua cella.	小地图上的房子图标显示你牢房的位置。 	ミニマップの「家」マークは、キミの監房の位置を示している。		
&Text.LoadingTip	O ícone de uma escada no mini mapa indica em qual andar você está.	"Das Treppensymbol über der Minimap zeigt an, auf welcher Etage du dich gerade befindest."	L'icône d'escalier de la carte indique le niveau auquel vous vous trouvez.	El icono de escalera que hay sobre el minimapa indica en qué planta estás.	"Значок звезды над мини-картой показывает, на каком вы сейчас этаже."	L’icona delle scale sopra la mini-mappa ti mostra il piano in cui ti trovi.	小地图上方的楼梯图标显示你目前所在的楼层。 	ミニマップの「階段」マークは、現在のフロアを示している。		
&Text.LoadingTip	O diário guarda todos os favores atuais e lhe permite selecionar qual ativar!	"Dein Tagebuch zeichnet alle deine aktuellen Gefallen auf und ermöglicht dir auszuwählen, welche aktiv sein sollen!"	Votre journal conserve les services en cours et vous permet de choisir celui que vous voulez effectuer en priorité.	¡El diario mantiene el recuento de los favores que posees en cada momento y te permite seleccionar cuál quieres activar!	"В вашем журнале регистрируются все текущие одолжения, и вы можете выбрать, какое из них будет активным!"	Il tuo diario tiene traccia di tutti i favori attuali e ti permette di selezionare quello che vuoi attivare!	你的日志追踪你目前所有的任务， 你可以将其中之一设置为当前目标！ 	「日記」には現在の「頼みごと」がすべて記録され、どれを完了させるか選択できる。		
&Text.LoadingTip	"Näo esqueça que presentear itens para seus companheiros de prisäo e guardas faz com que mudem de opiniäo sobre você - algumas vezes para melhor, outras para pior!"	"Den Insassen und Wärtern Gegenstände zu schenken, kann deren Meinung von dir ändern – mal zum Besseren, mal zum Schlechteren!"	"N'oubliez pas que vous pouvez donner des objets aux détenus ou aux gardiens pour gagner leurs faveurs, pour le meilleur ou pour le pire."	No te olvides de que regalar objetos a los compañeros de prisión y a los guardias hace que cambie su opinión sobre ti. A veces a mejor y otras a peor.	"Не забывайте, что подарки могут изменить мнение, которое сложилось о вас у других заключенных и охранников — как к лучшему, так и к худшему!"	"Non dimenticare che regalare degli oggetti a detenuti e guardie può cambiare la loro opinione su di te: a volte in meglio, a volte in peggio!"	别忘了， 送礼物给囚犯和守卫能改变他们对你的看法。 但有时候送礼反而会让对方对你更加反感！ 	評価を上げたい時は看守や囚人にモノを贈ろう。ただし、場合によっては評価が下がったり、恐ろしい目に遭うケースも！		
&Text.LoadingTip	"Quando estiver jogando online, lembre-se que pode colocar uma marca na prisäo visível para todos os companheiros!"	"Denk daran, dass du beim Online-Spielen im Gefängnis ein Tag setzen kannst, das deine Mitspieler sehen können!"	"Dans une partie en ligne, vous pouvez placer un repère dans la prison, qui sera visible par les autres joueurs."	"Cuando juegues en línea, recuerda que puedes poner una etiqueta en la prisión para que la puedan ver tus compañeros de juego."	"Играя в сети, помните, что вы можете разместить в тюрьме метку, которую увидят другие игроки!"	"Durante una partita online, ricorda che puoi posizionare un marchio nella prigione che può essere visto dagli altri giocatori!"	在线游戏时， 记住你可以在监狱里放置一个其他玩家都能看到的标签。 	オンラインプレイでは刑務所内にマークを置いて、仲間に位置を知らせることができる。		
&Text.LoadingTip	Lembre-se, você só pode saltar entre os andares se a altura for de um andar ou menos!	"Denk daran, dass du dich auf eine Etage fallen lassen kannst, wenn der Höhenunterschied höchstens eine Etage beträgt!"	Vous ne pouvez descendre à un niveau inférieur que si la hauteur de votre chute est d'un niveau ou moins.	Recuerda que solo puedes saltar de planta a planta si la altura es de una planta o menos.	"Помните, что вы можете перемещаться между этажами, только если разница высоты составляет один этаж или меньше!"	"Ricorda che per passare da un piano all’altro, la differenza di altezza deve essere di un piano o meno!"	记住， 你可以从自己所在楼层往下跳， 但最多只能下落一个楼层的距离！ 	プレイヤーは一階ぶんの高さまでしか、飛び下りられない。		
&Text.LoadingTip	"Normalmente as melhores ferramentas de trabalho säo criadas. Por que näo dê uma olhada no que pode fazer?"	"Die besten Werkzeuge werden meistens selbst gefertigt, sieh dir also an, was du machen kannst."	"Les meilleurs objets sont ceux que vous fabriquez, alors jetez un œil à ce que vous pouvez faire."	Normalmente las mejores herramientas son creadas por ti. ¿Por qué no echas un vistazo para ver qué puedes hacer?	"Обычно для выполнения задачи лучше подходят инструменты, сделанные вручную. Узнайте, что вы можете изготовить."	"In genere, i migliori attrezzi sono quelli che costruisci. Perché non dai uno sguardo a quello che puoi creare?"	通常最好的工具是制作出来的， 因此何不看看你都能制作些什么呢？ 	最高の工具は自作できることが多い。手持ちの品で何か作れないか、チェックしてみよう。		
&Text.LoadingTip	Os guardas reportaräo qualquer atividade suspeita a sala de controle!	Die Wärter melden jede verdächtige Aktivität an den Kontrollraum!	Les gardiens signaleront toute activité suspecte à la salle de contrôle.	¡Los guardias informarán de cualquier actividad sospechosa a la sala de control!	Охранники сообщают о любой подозрительной деятельности на центральный пост!	Le guardie comunicheranno ogni attività sospetta alla Sala controllo!	守卫发现任何可疑活动都会报告给控制室！ 	看守は不審な行動を見かけると、監視室へ報告に向かう。		
&Text.LoadingTip	"Você pode pegar os lençóis das camas e colocar nas grades das celas para evitar que seja observado!"	"Du kannst Bettlaken von den Zellenbetten nehmen und an die Gitterstangen hängen, damit Gaffer dir nicht zusehen können!"	Vous pouvez prendre les draps des lits et les accrocher à vos barreaux pour être à l'abri des regards indiscrets.	Puedes coger las sábanas de las camas de la celda para ponerlas en los barrotes y así evitar que te observen los mirones.	"Вы можете снять простыни с кроватей и повесить их на решетки камеры, чтобы скрыться от посторонних глаз."	Puoi prendere le lenzuola dai letti delle celle e appenderli alle sbarre della cella per evitare che qualcuno ti spii!	你可以从牢房的床上拿取床单， 并将其挂在横梁上， 这样能防止别人偷看你！ 	ベッドシーツをはがして、鉄格子に吊るしておけば、看守に房の中をのぞかれない。		
&Text.LoadingTip	Näo esqueça que você pode alterar sua prisäo para que ela possa ser jogável por outros jogadores ou mantê-la off-line se quiser jogar sozinho. Faça isso quando quiser!	"Du kannst dein Gefängnis so einrichten, dass sich andere Spieler dir anschließen können, oder du kannst offline alleine spielen. Das ist jederzeit möglich!"	Vous pouvez sélectionner le mode en ligne ou hors ligne pour votre prison à tout moment et permettre à d'autres joueurs de vous rejoindre.	Recuerda que puedes hacer que se unan otros jugadores a tu prisión o mantenerla local si quieres jugar solo. ¡Hazlo cuando quieras!	"Не забудьте, что вы можете сделать тюрьму более интересным местом, пригласив других игроков, или выйти из сети и играть самостоятельно. Вы можете сделать это в любое время!"	"Ricorda che puoi impostare la tua prigione per far sì che altri giocatori possano unirsi, oppure tenerla offline se preferisci giocare da solo. Puoi farlo in ogni momento!"	别忘了你可以将自己的监狱设置为其他玩家可加入的状态。 如果你想自己玩， 也可以将其设置为离线状态。 你可以随时执行此操作！ 	刑務所はいつでもオンラインとオフラインの切り替えが可能。一人でも、他のプレイヤーと一緒にも遊ぶことができる。		
&Text.LoadingTip	Você pode ver os perfis dos presos ou dos guardas para ver algumas informaçöes, tipo a opiniäo que eles têm sobre você!	"Du kannst die Profile von Insassen und Wärtern einsehen und z. B. erfahren, welche Meinung sie von dir haben!"	Vous trouverez des informations sur le profil des détenus et des gardiens telles que leur opinion de vous.	Puedes ver los perfiles de los compañeros de prisión y los guardias para acceder a información como la opinión que tienen de ti.	"Вы можете просматривать профили заключенных и охранников, чтобы получить определенную информацию!"	"Puoi trovare delle informazioni nei profili dei detenuti e delle guardie come, per esempio, l’opinione che hanno su di te!"	你可以查看囚犯和守卫的档案以了解各种信息， 比如说他们对你的看法！ 	キミへの評価などを知りたければ、看守や囚人のプロフィールをチェックしよう。		
&Text.LoadingTip	"Você pode criar vagas de emprego sabotando o trabalho de outras pessoas, impedindo que elas completem suas metas!"	"Du kannst eine freie Arbeitsstelle schaffen, indem du die Arbeit anderer Leute sabotierst, damit sie ihr Soll nicht schaffen!"	Vous pouvez saboter le boulot d'autres détenus pour leur faire perdre leur poste et le libérer pour vous.	Puedes crear vacantes de empleo al sabotear los trabajos de otras personas e impedir que completen sus objetivos.	"Вы можете создавать вакансии, саботируя работы других заключенных и мешая им выполнить наряд!"	Puoi creare posti di lavoro sabotando i lavori di altre persone e impedendo loro di portarli a termine!	你可以用暗中破坏别人工作的方式创造职务空缺， 这样对方就没法完成自己的指标了！ 	仕事に空きがない時は、担当者のノルマ達成を妨害して、横取りすることができる。		
&Text.LoadingTip	"Desligar os geradores desativa temporariamente as câmeras de segurança, as cercas elétricas, os detectores de contrabando e as luzes!"	"Durch das Abschalten von Generatoren werden vorübergehend Sicherheitskameras, elektrische Zäune, Schmuggelware-Detektoren und die Lichter deaktiviert!"	"Éteindre les générateurs désactivera temporairement les caméras de sécurité, les clôtures électriques, les détecteurs de contrebande et les lumières."	"Apagar los generadores hace que las cámaras de seguridad, las vallas eléctricas y los detectores de contrabando dejen de funcionar durante un tiempo."	"Отключение генераторов приведет к временному отключению камер видеонаблюдения, электрических ограждений, детекторов контрабанды и света!"	"Spegnendo i generatori disattiverai temporaneamente le videocamere di sicurezza, i recinti elettrificati, i rilevatori di oggetti di contrabbando e le luci!"	关闭发电机能令安保摄像头、 通电围栏、 违禁品探测器和电灯暂时失灵！ 	発電機のスイッチを切ると一時的に、監視カメラ、電気フェンス、禁制品検知機、ライトを無効化できる。		
&Text.LoadingTip	Os trabalhos na prisäo lhe däo acesso a itens e áreas que poderäo ser de grande ajuda.	"Durch Gefängnisjobs gelangst du an einzigartige Gegenstände und in Bereiche, die du zu deinem Vorteil nutzen kannst."	Les boulots vous permettent d'accéder à des zones et des objets uniques dont vous pouvez tirer parti.	Los trabajos de prisión te dan acceso a objetos y zonas únicas que pueden servirte de ayuda.	"Тюремные работы дают доступ к уникальным предметам и местам, которые можно использовать в своих целях."	I lavori nella prigione ti consentono di accedere a oggetti unici e aree che potrai usare a tuo vantaggio.	在监狱中工作可有机会使用独特的物品以及进入特别的区域， 这一点也许可以为你所用。 	刑務所の仕事を引き受けると特別な部屋に入ることができ、便利なアイテムが手に入る。		
&Text.LoadingTip	Tome uma ducha para recuperar energia!	Duschen stellt die Ausdauer wieder her!	Une douche pour rétablit votre endurance.	Date una ducha para recuperar energía.	Примите душ и восстановите выносливость!	Fai una doccia per recuperare energia!	冲个澡可恢复耐力！ 	シャワーを浴びるとスタミナが回復する。		
&Text.LoadingTip	Uma prisäo de segurança máxima dará mais trabalho para escapar!	Ein höheres Sicherheitslevel macht eine Flucht sehr viel schwieriger!	Un niveau de sécurité plus élevé rendra votre évasion plus difficile.	Una seguridad de prisión más alta hará escapar mucho más difícil.	При более высоком уровне безопасности сбежать из тюрьмы становится сложнее!	Evadere è più arduo nelle prigioni con un livello di sicurezza più alto!	监狱的戒备越森严， 越狱就越有挑战性！ 	刑務所の警戒度が上昇するほど、脱獄するのは困難になる。		
&Text.LoadingTip	Alguns itens de plástico podem ser afiados na parede e ser transformados em armas.	Einige Gegenstände aus Plastik können an einer Wand geschärft und zu Waffen werden.	Certains objets en plastiques peuvent être affûtés contre un mur pour en faire des armes.	Algunos objetos de plástico se pueden afilar con la pared y transformar en armas.	Некоторые пластиковые предметы можно заточить о стену и превратить в оружие.	Alcuni oggetti di plastica possono essere affilati contro un muro e trasformati in armi.	部分塑料制品可以在墙上磨利， 制成武器。 	プラスチック製アイテムの中には壁で研いで、武器に変えられるものがある。		
&Text.LoadingTip	Alguns itens que precisam ser criados requerem que você tenha um intelecto maior!	"Einige Gegenstände, die gefertigt werden müssen, erfordern einen höheren Verstand!"	Certains objets à fabriquer nécessite un haut niveau d'intelligence.	¡Algunas cosas que hay que crear precisan que tengas un mayor intelecto!	Для изготовления некоторых инструментов требуется высокий интеллект!	Alcuni oggetti richiedono molta intelligenza per essere costruiti!	制作某些物品需要你拥有较高的智力！ 	アイテムによっては高度な「知力」がないと、作成できない。		
&Text.LoadingTip	Sabemos que alguns prisioneiros roubam itens das escrivaninhas de outros prisioneiros!	"Einige Insassen sind bekannt dafür, Gegenstände von den Pulten anderer Gefangener zu stehlen!"	Certains détenus ont tendance à voler des objets dans les bureaux des autres.	Se sabe que algunos compañeros han robado objetos a otros prisioneros.	Некоторые заключенные крали предметы из столов других арестантов!	Alcuni detenuti sono noti per aver rubato oggetti dai tavoli di altri prigionieri!	有些囚犯经常偷其他犯人桌子上的东西！ 	囚人の中には他の受刑者の机の中から、アイテムを盗んでいく者もいる。		
&Text.LoadingTip	"Se você for nocauteado e for parar na Solitária, perderá todos seus itens de contrabando que tiver levando!"	"Falls du niedergeschlagen und in Einzelhaft gesteckt wirst, verlierst du jegliche Schmuggelware, die du trägst!"	"Si vous êtes assommé et envoyé en isolement, vous perdrez la contrebande votre inventaire."	¡Si te noquean y te llevan a la celda de aislamiento perderás cualquier objeto de contrabando que lleves!	"Если вас нокаутируют и отправят в карцер, вы потеряете имеющиеся контрабандные предметы!"	"Se finisci KO e vai in isolamento, perderai tutti gli oggetti di contrabbando che porti con te!"	如果你被击晕并被关禁闭， 你将失去身上携带的一切违禁品！ 	気を失って独房へぶち込まれると、手持ちの禁制品はすべて没収される。		
&Text.LoadingTip	Crie um ‘Boneco Falso’ e coloque na sua cama para enganar os guardas a noite!	"Fertige eine Attrappe und lege sie in dein Bett, um nachts die Wärter zu täuschen!"	Fabriquez un mannequin à mettre dans votre lit pour ne pas vous faire remarquer la nuit.	¡Crea un «Muñeco» y ponlo en tu cama para engañar a los guardias por la noche!	"Изготовьте и положите в кровать чучело, чтобы перехитрить охрану во время ночного обхода!"	Crea e posiziona un Manichino nel tuo letto per ingannare le guardie!	制作“睡觉假人”并将其放在床上可在夜间骗过守卫！ 	「ダミー人形」を作ってベッドに置いておけば、夜勤の看守の目をあざむける。		
&Text.LoadingTip	Você irá precisar de amigos para certos métodos de fuga!	Für bestimmte Fluchtmethoden benötigst du Freunde!	Certaines méthodes d'évasion nécessitent l'aide d'amis.	¡Para ciertos métodos de escape necesitarás amigos!	Для определенных способов побега вам понадобятся друзья.	Avrai bisogno di alcuni amici per certi metodi di evasione!	某些越狱方案需要几个伙伴才能实现！ 	脱獄方法によっては、仲間が必要になることも。		
&Text.LoadingTip	Se recusar um favor a um companheiro de prisäo, diminuirá a opiniäo dele sobre você.	"Gefallen für andere Insassen abzuweisen, senkt ihre Meinung von dir."	"Si vous refusez de rendre un service à un détenu, son opinion de vous se dégradera."	Si rechazas hacer un favor a un compañero de prisión disminuirá su opinión sobre ti.	Отказ сделать одолжение другому заключенному ухудшает его мнение о вас.	"Rifiutando di fare un favore a un altro detenuto, peggiorerai la sua opinione su di te."	拒绝做任务帮助别的囚犯会令此人对你的好感下降。 	囚人の「頼みごと」を断ると、キミへの評価が下がる。		
&Text.LoadingTip	Trabalhar na prisäo é uma maneira legal e segura de ganhar dinheiro.	"Gefängnisjobs sind eine legale und sichere Methode, um Geld zu verdienen."	Les boulots sont un moyen légal et presque sans danger de gagner de l'argent.	Trabajar en prisión es una manera legal y medianamente segura de ganar dinero.	Тюремные работы — это законный и более безопасный способ заработать наличные.	Lavorare in prigione è un modo legale e in un certo senso sicuro di guadagnare.	监狱中的工作是合法又相对安全的挣钱途径。 	合法的かつ安全にコインを稼ぎたいなら、刑務所の仕事をするのがベストだ。		
&Text.LoadingTip	"Na partida online, o tempo só é acelerado quando todos os jogadores forem dormir."	"Gehen in einem Online-Spiel alle zu Bett, wenn das Licht aus ist, vergeht die Zeit schneller."	"En ligne, si tous les joueurs se couchent lors de l'extinction des feux, le temps avancera plus vite."	"En línea, si todos los jugadores se van a dormir al apagarse las luces, se acelerará el paso del tiempo."	"Играя в сети, можно ускорить время, если все игроки лягут спать после выключения света."	"In una partita online, se tutti vanno a letto allo spegnimento delle luci, il tempo sarà velocizzato."	在线游戏时， 如果你们所有人在熄灯后都去睡觉， 则时间将加速流逝。 	オンラインプレイ中は消灯後、全員がベッドに入ると時間が早く流れる。		
